iteration,loss,particle,velocity,x,y
1,inf,0,2.79085,-0.333725,-0.794214
1,inf,1,7.45815,-3.38618,-0.923742
1,inf,2,9.72226,-1.94976,-3.27224
1,inf,3,9.40168,-1.51399,-1.38895
1,inf,4,6.67028,4.39025,2.84742
1,inf,5,11.3053,-2.77891,4.8457
1,inf,6,10.4168,5.0927,-2.08638
1,inf,7,8.2032,-0.401511,4.74567
1,inf,8,8.7142,4.37626,-2.57469
1,inf,9,3.75307,1.94369,-2.15248
1,inf,10,9.33923,-0.0794128,1.65771
1,inf,11,9.96113,2.16957,0.5795
1,inf,12,9.75724,1.84323,2.80182
1,inf,13,1.53565,-4.61446,-1.01449
1,inf,14,7.80186,1.46664,4.76579
1,inf,15,9.4433,-1.64354,-0.327537
1,inf,16,4.79457,-0.752063,-4.34472
1,inf,17,3.90604,-0.747109,0.0591364
1,inf,18,3.76294,4.80902,-3.12461
1,inf,19,9.04255,-1.96144,-4.38128
1,inf,20,10.5351,-3.80075,4.42096
1,inf,21,1.91806,-4.06386,-2.2394
1,inf,22,1.84261,3.6668,5.02061
1,inf,23,11.2787,-3.78382,-2.07938
1,inf,24,9.27708,-4.28645,3.84492
1,inf,25,8.50141,-1.39824,0.541969
1,inf,26,8.68894,1.73659,3.80701
1,inf,27,9.68527,4.75376,-1.68335
1,inf,28,10.2994,4.29749,-0.920589
1,inf,29,10.3748,2.5938,-2.16116
1,inf,30,12.5394,-1.22632,3.45625
1,inf,31,7.45965,2.67999,-2.52107
1,inf,32,9.61355,-3.65722,-4.72508
1,inf,33,11.8226,-2.47709,-0.0226007
1,inf,34,10.1858,-0.261719,2.45938
1,inf,35,9.58216,4.01524,-2.8575
1,inf,36,12.0586,0.840542,-3.29367
1,inf,37,3.17744,-2.47333,2.1011
1,inf,38,11.7178,-1.70208,-1.39338
1,inf,39,12.779,2.05331,3.70775
1,inf,40,5.32231,-3.7078,3.70198
1,inf,41,10.86,-1.53656,2.6137
1,inf,42,13.5553,-2.58353,0.362489
1,inf,43,8.79838,2.22463,-3.92145
